Brand,Brand_Style,ABV,Calories,Fat_grams,Calories_from_fat,Saturated_fat_grams,Trans_fat_grams,Cholesterol_mg,Sodium_mg,Carbs_mg,Fiber_grams,Sugars_grams,Protein_grams,Ingredients
Magnum,American-Style Malt Liquor,5.6,157,0,0,0,0,0,10,11.1,0,0,1.1,"Water, Barley Malt,Corn Syrup (Dextrose, Maltose), Yeast, Hop Extract"
Mickey's  ,American-Style Malt Liquor,5.6,157,0,0,0,0,0,10,11.1,0,0,1.1,"Water, Barley Malt,Corn Syrup (Dextrose, Maltose), Yeast, Hop Extract"
Mickey's Ice  ,American-Style Ice Lager,5.8,157,0,0,0,0,0,10,11.8,0,0,1.2,"Water, Barley Malt,Corn Syrup (Dextrose, Maltose), Yeast, Hop Extract"
Miller Genuine Draft,American-Style Lager,4.7,144,0,0,0,0,0,10,12.5,0,0,< 1.0,"Water, Barley Malt,Corn Syrup (Maltose), Yeast, Hop Extract, Hops"
Miller High Life,American-Style Lager,4.6,141,0,0,0,0,0,10,12.2,0,0,< 1.0,"Water, Barley Malt, Corn Syrup (Maltose), Yeast, Hop Extract"
Miller High Life Light,American-Style Light Lager,4.1,107,0,0,0,0,0,10,6.2,0,0,< 1.0,"Water, Barley Malt, Corn Syrup (Dextrose), Yeast, Hop Extract"
Miller Lite,American-Style Light Lager,4.2,96,0,0,0,0,0,5,3.2,0,0,< 1.0,"Water, BarleyMalt, Corn Syrup (Dextrose), Yeast, Hops and Hop Extract"
Miller64,American-Style Light Lager,2.8,64,0,0,0,0,0,5,2.4,0,0,< 1.0,"Water, Barley Malt, Corn Syrup (Dextrose), Yeast, Hop Extract"
Milwaukee's Best,American-Style Lager,4.8,142,0,0,0,0,0,5,11.5,0,0,< 1.0,"Water, Barley Malt,Corn Syrup (Maltose), Yeast, Hops"
Milwaukee's Best Ice,American-Style Ice Lager,5.9,148,0,0,0,0,0,8,7.6,0,0,1,"Water, Barley Malt,Corn Syrup (Dextrose), Yeast, Hops, Hop Extract"
Milwaukee's Best Light,American-Style Light Lager,4.1,96,0,0,0,0,0,5,3.5,0,0,< 1.0,"Water, Barley Malt, Corn Syrup (Dextrose), Yeast, Hop Extract"
Molson Canadian,North American-Style Lager,5,143,0,0,0,0,0,5,10.3,0,0,1,"Water, Barley Malt, Yeast, Corn Syrup (Maltose), Hops "
Molson Canadian 67,North American-Style Light Lager,3,70,0,0,0,0,0,5,2.6,0,0,< 1.0,"Water, Malted Barley, Corn Syrup (Dextrose), Malted Wheat, Yeast, Hops, Hop Extract"
Molson Golden,North American-Style Lager,5,150,0,0,0,0,0,10,12.3,0,0,1,"Water, Barley Malt, Yeast, Corn Syrup (Maltose), Hop Extract"
Molson Ice,North American-Style Lager,5.6,169,0,0,0,0,0,10,13.9,0,0,1.2,"Water, Barley Malt, Yeast, Corn Syrup (Maltose), Hop Extract"
Molson XXX,North American-Style Specialty Lager,7.3,212,0,0,0,0,0,10,16.4,0,0,1.4,"Water, Barley Malt, Yeast, Corn Syrup (Maltose), Hop Extract"
MOVO BloodOrange Sangria,Wine Spritzer,5.5,100,0,0,0,0,0,5,7,0,4,< 1.0,"Carbonated Water, Red Wine, White Grape Juice Concentrate, Natural Flavors. Contains Sulfites."
MOVO Peach White,Wine Spritzer,5.5,100,0,0,0,0,0,5,6,0,3,0,"Carbonated Water, White Wine, Peach Juice Concentrate, Natural Flavors. Contains Sulfites."
MOVO Raspberry Rose,Wine Spritzer,5.5,100,0,0,0,0,0,5,7,0,5,0,"Wine (Rose Wine, White Wine), Carbonated Water, White Grape Juice Concentrate, Natural Flavors, Strawberry Juice Concentrate. Contains Sulfites."
Old Vienna,North American-Style Lager,5,150,0,0,0,0,0,10,12.3,0,0,1.1,"Water, Barley Malt, Yeast, Corn Syrup (Maltose), Hop Extract"
Olde English 800,American-Style Malt Liquor,5.9,161,0,0,0,0,0,5,10.8,0,0,1.1,"Water, Barley Malt, Corn Syrup (Dextrose and Maltose), Yeast, Hop Extract"
Olde English 800 7.5%,American-Style Malt Liquor,7.5,205,0,0,0,0,0,20,13.7,0,0,1.4,"Water, Barley Malt, Corn Syrup (Dextrose and Maltose), Yeast, Hop Extract"
Olde English High Gravity 800,American-Style Malt Liquor,8,219,0,0,0,0,0,20,14.7,0,1,1.5,"Water, Barley Malt,Corn Syrup (Dextrose, Maltose), Yeast, Hop Extract"
Peroni Nastro Azzurro,International Pale Lager,5.1,149,0,0,0,0,0,5,11.4,0,0,1.4,"Water, Barley Malt, Italian Maize, Yeast, Hops, Hop Extract"
Pilsner Urquell,Bohemian Pilsner,4.4,149,0,0,0,0,0,10,18.1,0,0,1.8,"Water, Barley Malt, Yeast, Hop Products"
Red Dog,American-Style Lager,4.8,147,0,0,0,0,0,0,11.5,0,0,1.2,"Water, Barley Malt,Corn Syrup (Dextrose, Maltose), Yeast, Hops"
Redd's HardApple,Apple Ale,5,165,0,0,0,0,0,25,17.1,0,12,< 1.0,"Water, Corn Syrup (Dextrose), Barley Malt, Yeast, Hop Extract, Sucrose,Citric Acid, Natural Flavor, Caramel Color, Sodium Benzoate & Potassium Sorbate (added for freshness)"
Redd's Hard AppleBlack Cherry,Apple Ale,5,165,0,0,0,0,0,40,17.1,0,14,< 1.0,"Water, Corn Syrup, Barley Malt, Yeast, Hop Extract, Sucrose, Citric Acid, Natural Flavors, Caramel Color, Grape Juice (for color), Sodium Benzoate and Potassium Sorbate (added for freshness)"
Redd's Blueberry Ale,Apple Ale,5,166,0,0,0,0,0,20,17.3,0,14,< 1.0,"Water, Corn Syrup (Dextrose), Barley Malt, Yeast, Hop Extract, Sucrose,Citric Acid, Malic Acid, Natural Flavor, Caramel Color, Sodium Benzoate & Potassium Sorbate (added for freshness)"
Redd's Cranberry Ale,Apple Ale,5,166,0,0,0,0,0,25,17.3,0,15,< 1.0,"Water, Corn Syrup (Dextrose), Barley Malt, Yeast, Hop Extract, Sucrose,Citric Acid, Natural Flavor, Caramel Color, Sodium Benzoate & Potassium Sorbate (added for freshness)"
Redd's Hard Apple Peach,Apple Ale,5,165,0,0,0,0,0,30,17.1,0,15,< 1.0,"Water, Corn Syrup (Dextrose), Barley Malt, Yeast, Hop Extract, Sucrose,Citric Acid, Natural Flavors, Caramel Color, Sodium Benzoate & Potassium Sorbate (added for freshness)"
Redd's Pineapple,Apple Ale,5,166,0,0,0,0,0,20,17.3,0,16,< 1.0,"Water, Corn Syrup (Dextrose), Barley Malt, Yeast, Hop Extract, Sucrose, Citric Acid, Malic Acid, Natural Flavors, Caramel Color, Sodium Benzoate and Potassium Sorbate (Added For Freshness)"
Redd's Hard Apple Strawberry,Apple Ale,5,165,0,0,0,0,0,20,17.1,0,13,< 1.0,"Water, Corn Syrup, Barley Malt, Yeast, Hop Extract, Sucrose, Citric Acid, Natural Flavors, Caramel Color, Elderberry Juice (for color), Sodium Benzoate and Potassium Sorbate (added for freshness)"
Redd's Wicked Apple,Apple Ale,8,274,0,0,0,0,0,30,29.7,0,26,< 1.0,"Water, Corn Syrup (Dextrose), Barley Malt, Yeast, Hop Extract, Sucrose,Citric Acid, Malic Acid, Natural Flavor, Caramel Color, Sodium Benzoate & Potassium Srbate (added for freshness)"
Redd's Wicked Black Cherry,Apple Ale,8,273,0,0,0,0,0,25,29.5,0,25,< 1.0,"Water, Corn Syrup (Dextrose), Barley Malt, Yeast, Hop Extract, Sucrose,Citric Acid, Malic Acid, Natural Flavors, Caramel Color, Sodium Benzoate & Potassium Sorbate(added for freshness)"
Redd's Wicked Lemonade,Apple Ale,8,273,0,0,0,0,0,25,29.5,0,27,< 1.0,"Water, Corn Syrup (Dextrose), Barley Malt, Yeast, Hop Extract, Sucrose,Citric Acid, Malic Acid, Tartaric Acid, Sodium Citrate, Natural Flavors, Caramel Color, Sodium Benzoate & Potassium Sorbate (added for freshness)"
Redd's Wicked Sour Apple,Apple Ale,8,274,0,0,0,0,0,20,29.7,0,26,< 1.0,"Water, Corn Syrup (Dextrose), Barley Malt, Yeast, Hop Extract, Sucrose,Citric Acid, Malic Acid, Lactic Acid,Natural Flavor, Caramel Color, Sodium Benzoate & Potassium Sorbate (added for freshness)"
Redd's Wicked Strawberry Kiwi,Apple Ale,8,273,0,0,0,0,0,45,29.6,0,27,< 1.0,"Water, Corn Syrup (Dextrose), Barley Malt, Yeast, Hop Extract, Sucrose,Citric Acid, Malic Acid, Natural Flavors, Caramel Color, Sodium Benzoate & Potassium Sorbate (added for freshness)"
Redd's Wicked Watermelon,Apple Ale,8,274,0,0,0,0,0,25,29.6,0,26,< 1.0,"Water, Corn Syrup (Dextrose), Barley Malt, Yeast, Hop Extract, Sucrose,Citric Acid, Malic Acid, Natural Flavors, Caramel Color, Sodium Benzoate & Potassium Sorbate (added for freshness)"
Revolver Backyard Bee Honey Kolsch,Kolsch,4.5,166,0,0,0,0,0,65,17.4,0,0,1.2,"Water, Malted Barley, Hops, Yeast, Honey"
